symbol,_id,company,dividend_startyear,exchange,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid
CD,2021Q1_878324,秦淮数据,0,NAS,软件,31110,-,软件和信息技术服务,31110010,33224831000,-3.76,-41.28,$14.07,科技,311,0.01,23300,385000,0.11,10000.0,23300,0.11,0.11,1,23.65,15.36,18.85,-25.36,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_878324
QFIN,2021Q1_878316,360数科,0,NAS,信贷,10360,-,信贷服务,10360010,29777051000,33.01,156.32,$30.22,金融服务,103,0.0,4000,104000,0.03,10000.0,4000,0.03,0.03,1,33.58,12.01,22.36,35.15,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_878316
FUTU,2021Q1_878327,富途控股,0,NAS,资本市场,10330,-,资本市场,10330010,127830191000,-8.92,194.64,$134.80,金融服务,103,0.0,300,48000,0.01,10000.0,300,0.01,0.01,1,191.0,48.94,124.1,8.62,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_878327
TME,2021Q1_878343,腾讯音乐,0,NYSE,交互式媒体,30830,-,互联网和相关服务,30830010,135697104000,-31.07,-35.55,$12.40,通信服务,308,0.05,907100,18587000,5.09,660.58,787836,4.42,4.42,1,31.79,19.37,25.39,-51.16,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 660.58 %,2021Q1_878343
BEKE,2021Q1_878332,贝壳,0,NYSE,房地产,10410,-,房地产服务,10410020,300290889000,-23.89,-36.63,$39.00,房地产,104,0.06,725800,41356000,11.33,370.08,571400,8.92,8.92,1,76.69,47.08,62.93,-38.03,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 370.08 %,2021Q1_878332
DOYU,2021Q1_878326,斗鱼,0,NAS,交互式媒体,30830,-,互联网和相关服务,30830010,10067873000,-50.77,-56.6,$4.80,通信服务,308,0.04,143034,1489000,0.41,4.33,5934,0.02,0.02,1,19.18,10.21,13.63,-64.78,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 4.33 %,2021Q1_878326
DQ,2021Q1_878325,大全新能源,0,NYSE,半导体,31130,-,半导体仪器和材料,31130010,32715052000,1.74,20.0,$68.83,科技,311,2.61,1920354,144986000,39.73,-10.28,-220034,-2.77,2.77,1,124.13,62.16,92.2,-25.35,2021-03-31T04:00:00Z,{4_trade_reduce},{trade_reduce} 10.28 %,2021Q1_878325
TSLA,2021Q1_878344,特斯拉,0,NAS,汽车和配件,10200,-,汽车制造,10200020,4049326363000,-11.94,-7.8,$650.60,周期性消费,102,0.0,8500,5677000,1.56,-18.27,-1900,-0.29,0.29,1,883.09,563.0,754.2,-13.74,2021-03-31T04:00:00Z,{4_trade_reduce},{trade_reduce} 18.27 %,2021Q1_878344
AAPL,2021Q1_878319,苹果,2012,NAS,硬件,31120,-,消费类电子产品,31120030,16020088127000,10.56,12.22,$148.48,科技,311,0.0,2800,342000,0.09,-30.0,-1200,-0.04,0.04,1,143.16,116.36,128.47,15.58,2021-03-31T04:00:00Z,{4_trade_reduce},{trade_reduce} 30.00 %,2021Q1_878319
NOAH,2021Q1_878338,诺亚财富,0,NYSE,资产管理,10310,-,资产管理,10310010,16865540000,3.82,-10.69,$42.70,金融服务,103,1.42,865738,38439000,10.53,-38.29,-537162,-5.64,5.64,1,51.45,42.75,47.54,-10.18,2021-03-31T04:00:00Z,{4_trade_reduce},{trade_reduce} 38.29 %,2021Q1_878338
JD,2021Q1_878331,京东集团,0,NAS,零售,10280,-,网络零售,10280050,774722131000,-0.81,-12.56,$76.86,周期性消费,102,0.01,105600,8905000,2.44,-42.09,-76739,-1.48,1.48,1,106.88,78.71,91.81,-16.28,2021-03-31T04:00:00Z,{4_trade_reduce},{trade_reduce} 42.09 %,2021Q1_878331
GOTU,2021Q1_878328,高途,0,NYSE,教育,20540,-,教育培训服务,20540010,20011990000,-49.6,-76.58,$12.11,非周期性消费,205,0.04,102500,3473000,0.95,-58.43,-144100,-1.64,1.64,1,142.7,31.78,81.74,-85.18,2021-03-31T04:00:00Z,{4_trade_reduce},{trade_reduce} 58.43 %,2021Q1_878328
