symbol,_id,company,dividend_startyear,exchange,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid
NTES,2021Q1_1331507,网易,2020,NAS,交互式媒体,30830,-,互联网和相关服务,30830010,496336045000,8.38,19.84,$114.41,通信服务,308,0.07,495247,51139000,12.44,0.0,0,0.0,0.0,1,132.47,96.74,113.47,0.83,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1331507
STAA,2021Q1_1331515,Staar Surgical Co,0,NAS,医疗器械,20650,-,医疗器械和供给,20650020,39051713000,7.51,62.7,$128.89,医疗保健,206,0.22,104843,11052000,2.69,0.0,0,0.0,0.0,1,126.48,78.5,100.51,28.24,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1331515
EDU,2021Q1_1331509,新东方（新）,2018,NYSE,教育,20540,-,教育培训服务,20540010,76638344000,-53.63,-63.19,$6.84,非周期性消费,205,0.01,163570,2290000,0.56,0.0,0,0.0,0.0,1,19.68,13.79,17.5,-60.91,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1331509
AMZN,2021Q1_1331485,亚马逊,0,NAS,零售,10280,-,网络零售,10280050,11831859762000,7.46,11.49,$3631.20,周期性消费,102,0.0,100,309000,0.08,0.0,0,0.0,0.0,1,3380.0,2951.95,3171.97,14.48,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1331485
HTHT,2021Q1_1331495,华住集团,2020,NAS,旅游和娱乐,10290,-,寄宿,10290030,107808678000,-7.42,14.41,$51.52,周期性消费,102,0.14,468551,25723000,6.26,-1.44,-6841,-0.07,0.07,1,61.92,45.11,53.62,-3.92,2021-03-31T04:00:00Z,{4_trade_reduce},{trade_reduce} 1.44 %,2021Q1_1331495
BILI,2021Q1_1331489,哔哩哔哩,0,NAS,交互式媒体,30830,-,电子游戏和多媒体,30830020,272631795000,6.91,28.46,$110.12,通信服务,308,0.09,363192,38884000,9.46,-3.34,-12546,-0.25,0.25,1,156.37,94.74,122.71,-10.26,2021-03-31T04:00:00Z,{4_trade_reduce},{trade_reduce} 3.34 %,2021Q1_1331489
ZTO,2021Q1_1331525,中通快递,2018,NYSE,交通运输,31080,-,装卸搬运和其他运输代理,31080060,156209549000,0.86,1.03,$29.21,工业,310,0.08,676122,19709000,4.79,-6.82,-49507,-0.34,0.34,1,38.48,27.43,32.74,-10.78,2021-03-31T04:00:00Z,{4_trade_reduce},{trade_reduce} 6.82 %,2021Q1_1331525
PDD,2021Q1_1331511,拼多多,0,NAS,零售,10280,-,网络零售,10280050,897342730000,-16.35,-37.67,$110.74,周期性消费,102,0.08,971007,129999000,31.63,-8.21,-86837,-3.64,3.64,1,202.82,124.18,169.27,-34.58,2021-03-31T04:00:00Z,{4_trade_reduce},{trade_reduce} 8.21 %,2021Q1_1331511
WB,2021Q1_1331523,微博,0,NAS,交互式媒体,30830,-,互联网和相关服务,30830010,92307624000,28.24,52.87,$62.66,通信服务,308,0.49,1119071,56468000,13.74,-15.09,-198871,-1.92,1.92,1,61.82,40.58,50.62,23.79,2021-03-31T04:00:00Z,{4_trade_reduce},{trade_reduce} 15.09 %,2021Q1_1331523
MNSO,2021Q1_1331505,名创优品,0,NYSE,零售,10280,-,特种零售,10280060,34512132000,-32.59,-33.46,$17.56,周期性消费,102,0.01,40656,977000,0.24,-48.31,-38000,-0.24,0.24,1,34.77,20.75,28.22,-37.77,2021-03-31T04:00:00Z,{4_trade_reduce},{trade_reduce} 48.31 %,2021Q1_1331505
BIDU,2021Q1_1331487,百度集团,0,NAS,交互式媒体,30830,-,互联网和相关服务,30830010,416819279000,-11.75,-14.21,$185.52,通信服务,308,0.01,21145,4600000,1.12,-54.89,-25727,-1.31,1.31,1,339.91,203.97,261.9,-29.16,2021-03-31T04:00:00Z,{4_trade_reduce},{trade_reduce} 54.89 %,2021Q1_1331487
ALB,2021Q1_1331637,美国雅宝公司,1994,NYSE,化工,10130,-,特种化学制品,10130020,140239436000,23.73,26.5,$185.83,基础材料,101,0.0,0,0,0.0,-10000.0,-53464,-1.86,1.86,1,185.25,140.69,160.56,15.74,2021-03-31T04:00:00Z,{5_trade_sell},{trade_sell},2021Q1_1331637
BABA,2021Q1_1331642,阿里巴巴,0,NYSE,零售,10280,-,网络零售,10280050,3766390937000,-10.18,-7.72,$214.76,周期性消费,102,0.0,0,0,0.0,-10000.0,-19739,-1.08,1.08,1,270.83,222.72,245.98,-12.69,2021-03-31T04:00:00Z,{5_trade_sell},{trade_sell},2021Q1_1331642
QD,2021Q1_1331647,趣店,0,NYSE,信贷,10360,-,信贷服务,10360010,3321800000,9.73,47.1,$2.03,金融服务,103,0.0,0,0,0.0,-10000.0,-46298,-0.02,0.02,1,3.66,1.3,2.41,-15.77,2021-03-31T04:00:00Z,{5_trade_sell},{trade_sell},2021Q1_1331647
