symbol,_id,company,dividend_startyear,exchange,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid,address,business_scope,chairman,city,descrpt,email,main_business,manager,province,reg_capital,secretary,setup_date,website
ALTR,2021Q1_961850,艾特拉,0,NAS,软件,31110,-,软件基础构架,31110030,32187576000,7.65,13.96,$66.30,科技,311,0.51,386786,24201000,0.05,276.46,284042,0.04,0.04,1,67.34,55.52,61.21,8.32,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 276.46 %,2021Q1_961850,,,,,,,,,,,,,
ARNC,2021Q1_962017,Arconic Corp,0,NYSE,工业制品,31070,-,特种工业机械,31070020,23668677000,21.2,11.64,$33.27,工业,310,0.14,156152,3965000,0.01,275.2,114534,0.01,0.01,1,31.05,21.92,26.82,24.05,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 275.20 %,2021Q1_962017,,,,,,,,,,,,,
BTAVF,2021Q1_962039,BATM Advanced Communications Ltd,0,OTCPK,医疗器械,20650,-,医疗器械和供给,20650020,3452216000,1.63,4.11,$1.28,医疗保健,206,0.95,4174208,5526000,0.01,275.05,3061237,0.01,0.01,1,1.6,1.2,1.35,-5.15,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 275.05 %,2021Q1_962039,,,,,,,,,,,,,
AJRD,2021Q1_961844,Aerojet Rocketdyne Holdings Inc,0,NYSE,航空航天和国防,31010,-,航空航天和国防,31010010,24760881000,-0.99,-0.06,$47.82,工业,310,0.11,90029,4228000,0.01,274.43,65985,0.01,0.01,1,53.13,46.54,50.87,-6.0,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 274.43 %,2021Q1_961844,,,,,,,,,,,,,
EVKIF,2021Q1_961971,Evonik Industries AG,2014,OTCPK,化工,10130,-,特种化学制品,10130020,104023495000,-1.32,11.41,$34.42,基础材料,101,0.0,19793,702000,0.0,270.86,14456,0.0,0.0,1,36.1,32.0,33.86,1.67,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 270.86 %,2021Q1_961971,,,,,,,,,,,,,
CHKP,2021Q1_961986,CheckPoint软件科技,0,NAS,软件,31110,-,软件基础构架,31110030,105900605000,4.11,-7.2,$123.34,科技,311,0.04,47974,5372000,0.01,266.41,34881,0.01,0.01,1,134.1,110.24,120.48,2.37,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 266.41 %,2021Q1_961986,,,,,,,,,,,,,
BDGXF,2021Q1_961899,Bertrandt AG,2020,GREY,汽车和配件,10200,-,汽车配件,10200030,4329830000,0.0,0.4,$45.14,周期性消费,102,0.89,90559,4900000,0.01,259.98,65402,0.01,0.01,1,45.14,45.14,45.14,-0.01,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 259.98 %,2021Q1_961899,,,,,,,,,,,,,
EMN,2021Q1_961868,伊士曼,1998,NYSE,化工,10130,-,化学制品,10130010,99430516000,-0.94,13.95,$112.89,基础材料,101,0.0,5978,658000,0.0,257.32,4305,0.0,0.0,1,118.02,98.35,108.6,3.95,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 257.32 %,2021Q1_961868,,,,,,,,,,,,,
PTC,2021Q1_961924,PTC Inc,0,NAS,软件,31110,-,软件应用,31110020,106664696000,-4.25,18.12,$141.28,科技,311,0.16,189081,26027000,0.05,251.43,135277,0.04,0.04,1,146.73,118.18,133.28,6.0,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 251.43 %,2021Q1_961924,,,,,,,,,,,,,
HPQ,2021Q1_961879,惠普,2016,NYSE,硬件,31120,-,计算机硬件,31120020,218244826000,-15.84,15.85,$28.10,科技,311,0.08,985456,31288000,0.06,249.72,703668,0.04,0.04,1,31.75,24.11,27.6,1.81,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 249.72 %,2021Q1_961879,,,,,,,,,,,,,
BLI,2021Q1_962034,Berkeley Lights Inc,0,NAS,生物科技,20610,-,生物科技,20610010,18407968000,-12.98,-52.24,$42.70,医疗保健,206,7.67,5115992,256976000,0.51,249.33,3651475,0.36,0.36,1,89.26,44.33,68.37,-37.55,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 249.33 %,2021Q1_962034,,,,,,,,,,,,,
HLTEF,2021Q1_961911,Hilan Ltd,2019,OTCPK,软件,31110,-,软件应用,31110020,7456954000,2.0,11.41,$51.00,科技,311,0.59,133407,6311000,0.01,248.27,95101,0.01,0.01,1,46.05,46.05,46.05,10.75,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 248.27 %,2021Q1_961911,,,,,,,,,,,,,
U,2021Q1_962052,Unity Software Inc,0,NYSE,软件,31110,-,软件应用,31110020,174661728000,-5.07,-36.96,$96.75,科技,311,2.9,8096637,812174000,1.61,240.0,5715289,1.14,1.14,1,155.86,90.88,123.21,-21.48,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 240.00 %,2021Q1_962052,,,,,,,,,,,,,
NVSEF,2021Q1_962054,诺华,2020,OTCPK,医药制造,20620,-,通用医药制造,20620010,1329995462000,6.51,2.58,$93.01,医疗保健,206,0.32,7219265,618936000,1.23,238.94,5089320,0.87,0.87,1,97.3,82.12,89.35,4.1,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 238.94 %,2021Q1_962054,,,,,,,,,,,,,
VLPNF,2021Q1_962031,voestalpine AG,2021,OTCPK,钢铁和焦煤,10160,-,钢铁,10160020,48290408000,-1.08,19.55,$42.45,基础材料,101,0.01,17367,721000,0.0,238.8,12241,0.0,0.0,1,41.59,36.14,39.0,8.85,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 238.80 %,2021Q1_962031,,,,,,,,,,,,,
SDVKF,2021Q1_961968,Sandvik AB,0,OTCPK,工业制品,31070,-,特种工业机械,31070020,213678203000,-2.14,12.32,$26.44,工业,310,0.0,24871,681000,0.0,236.0,17469,0.0,0.0,1,28.57,24.23,26.59,-0.56,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 236.00 %,2021Q1_961968,,,,,,,,,,,,,
SPNS,2021Q1_961979,Sapiens International Corp NV,2020,NAS,软件,31110,-,软件应用,31110020,8923143000,-23.44,-16.33,$25.24,科技,311,0.33,182947,5816000,0.01,233.94,128163,0.01,0.01,1,34.61,30.18,32.47,-22.27,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 233.94 %,2021Q1_961979,,,,,,,,,,,,,
HXL,2021Q1_961880,赫氏,2020,NYSE,航空航天和国防,31010,-,航空航天和国防,31010010,30916350000,1.64,17.71,$57.08,工业,310,0.02,13307,745000,0.0,233.84,9321,0.0,0.0,1,64.16,43.66,52.69,8.33,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 233.84 %,2021Q1_961880,,,,,,,,,,,,,
TRYIF,2021Q1_961923,Toray Industries Inc,2021,OTCPK,服饰加工,10240,-,纺织加工,10240010,65315750000,2.53,6.92,$6.49,周期性消费,102,0.01,94508,609000,0.0,229.2,65800,0.0,0.0,1,7.09,5.82,6.57,-1.22,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 229.20 %,2021Q1_961923,,,,,,,,,,,,,
DD,2021Q1_961867,杜邦,2020,NYSE,化工,10130,-,特种化学制品,10130020,273697135000,3.57,12.71,$79.55,基础材料,101,0.0,7808,603000,0.0,221.71,5381,0.0,0.0,1,86.36,68.69,76.28,4.29,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 221.71 %,2021Q1_961867,,,,,,,,,,,,,
RDWR,2021Q1_961993,Radware Ltd,0,NAS,软件,31110,-,软件基础构架,31110030,8952897000,6.37,9.59,$30.41,科技,311,0.48,218772,5706000,0.01,220.72,150559,0.01,0.01,1,30.13,25.15,27.35,11.19,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 220.72 %,2021Q1_961993,,,,,,,,,,,,,
NICE,2021Q1_961918,耐斯系统,0,NAS,软件,31110,-,软件应用,31110020,104153652000,7.19,-10.24,$254.50,科技,311,0.04,22504,4905000,0.01,217.67,15420,0.01,0.01,1,279.38,216.32,250.78,1.48,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 217.67 %,2021Q1_961918,,,,,,,,,,,,,
ZM,2021Q1_962064,Zoom视频通讯,0,NAS,软件,31110,-,软件应用,31110020,679251607000,7.35,5.78,$356.81,科技,311,1.02,3002347,964624000,1.92,214.36,2047276,1.31,1.31,1,444.51,308.39,369.11,-3.33,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 214.36 %,2021Q1_962064,,,,,,,,,,,,,
CELJF,2021Q1_961970,以色列塞康,0,OTCPK,通信,30810,-,电信服务,30810010,3910504000,2.92,-23.71,$3.70,通信服务,308,0.82,1332925,4983000,0.01,211.91,905580,0.01,0.01,1,5.46,3.56,4.05,-8.64,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 211.91 %,2021Q1_961970,,,,,,,,,,,,,
KALU,2021Q1_961895,凯撒铝业,2007,NAS,金属与开采,10150,-,铝,10150010,11925599000,2.89,19.22,$116.47,基础材料,101,0.29,46030,5086000,0.01,207.48,31060,0.01,0.01,1,125.7,86.7,108.36,7.48,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 207.48 %,2021Q1_961895,,,,,,,,,,,,,
SI,2021Q1_962006,西门子,0,NYSE,银行,10320,-,区域性银行,10320020,15620591000,-33.99,23.56,$91.82,金融服务,103,7.37,1939369,275720000,0.55,207.45,1308580,0.37,0.37,1,176.27,66.05,119.33,-23.05,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 207.45 %,2021Q1_962006,,,,,,,,,,,,,
GE,2021Q1_961874,通用电气,2019,NYSE,工业制品,31070,-,特种工业机械,31070020,724236180000,-5.76,18.33,$12.76,工业,310,0.0,417583,5483000,0.01,207.21,281655,0.01,0.01,1,14.17,10.47,12.14,5.11,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 207.21 %,2021Q1_961874,,,,,,,,,,,,,
UCTT,2021Q1_961957,超科林半导体,0,NAS,半导体,31130,-,半导体仪器和材料,31130010,13854427000,-11.74,55.22,$48.35,科技,311,0.27,119648,6944000,0.01,205.07,80428,0.01,0.01,1,58.04,33.82,46.09,4.9,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 205.07 %,2021Q1_961957,,,,,,,,,,,,,
YHEKF,2021Q1_962032,移卡,0,OTCPK,软件,31110,-,软件基础构架,31110030,16872691000,-24.24,17.94,$5.72,科技,311,2.81,12712000,87478000,0.17,201.92,8501600,0.11,0.11,1,15.28,4.85,9.65,-40.73,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 201.92 %,2021Q1_962032,,,,,,,,,,,,,
ALGN,2021Q1_961847,阿莱技术公司,0,NAS,医疗器械,20650,-,医疗设备,20650010,318097587000,2.55,16.34,$621.70,医疗保健,206,0.02,12215,6615000,0.01,200.42,8149,0.01,0.01,1,620.45,496.07,553.71,12.28,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 200.42 %,2021Q1_961847,,,,,,,,,,,,,
SILC,2021Q1_962043,矽晶电信,0,NAS,硬件,31120,-,通讯设备,31120010,1829593000,-9.46,-1.67,$41.15,科技,311,2.0,137871,6221000,0.01,193.78,90941,0.01,0.01,1,54.92,41.5,46.77,-12.02,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 193.78 %,2021Q1_962043,,,,,,,,,,,,,
OPEN,2021Q1_962069,Opendoor Technologies Inc,0,NAS,房地产,10410,-,房地产服务,10410020,55876905000,-24.25,-34.18,$14.96,房地产,104,2.02,11641318,246680000,0.49,190.94,7640092,0.32,0.32,1,35.88,20.06,27.4,-45.4,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 190.94 %,2021Q1_962069,,,,,,,,,,,,,
RAVN,2021Q1_962063,Raven Industries Inc,2021,NAS,工业制品,31070,-,特种工业机械,31070020,13262400000,43.93,72.59,$57.11,工业,310,3.91,1405340,53867000,0.11,184.63,911597,0.07,0.07,1,42.46,31.8,37.34,52.95,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 184.63 %,2021Q1_962063,,,,,,,,,,,,,
JD,2021Q1_961893,京东集团,0,NAS,零售,10280,-,网络零售,10280050,774722131000,-0.81,-12.56,$76.86,周期性消费,102,0.3,4651745,392282000,0.78,184.03,3013962,0.51,0.51,1,106.88,78.71,91.81,-16.28,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 184.03 %,2021Q1_961893,,,,,,,,,,,,,
